Date : 2026-01-17 13:55:45
Directory : c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay
Total : 136 files,  3489 codes, 133 comments, 989 blanks, all 4611 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        117 |      2,256 |         95 |        592 |      2,943 |
| Django HTML     |          8 |        722 |          0 |         51 |        773 |
| Markdown        |          5 |        347 |          0 |        299 |        646 |
| PostCSS         |          1 |         69 |          5 |         16 |         90 |
| Batch           |          1 |         41 |         32 |         22 |         95 |
| Gradle          |          2 |         40 |          1 |          8 |         49 |
| Java Properties |          2 |         14 |          0 |          1 |         15 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                 |        136 |      3,489 |        133 |        989 |      4,611 |
| . (Files)                                                                                                                                                                                         |          7 |        411 |         33 |        319 |        763 |
| gradle                                                                                                                                                                                            |          1 |          7 |          0 |          1 |          8 |
| gradle\wrapper                                                                                                                                                                                    |          1 |          7 |          0 |          1 |          8 |
| src                                                                                                                                                                                               |        128 |      3,071 |        100 |        669 |      3,840 |
| src\main                                                                                                                                                                                          |        118 |      2,814 |         98 |        617 |      3,529 |
| src\main\java                                                                                                                                                                                     |        108 |      2,016 |         93 |        550 |      2,659 |
| src\main\java\com                                                                                                                                                                                 |        108 |      2,016 |         93 |        550 |      2,659 |
| src\main\java\com\github                                                                                                                                                                          |        108 |      2,016 |         93 |        550 |      2,659 |
| src\main\java\com\github\sentinel                                                                                                                                                                 |        108 |      2,016 |         93 |        550 |      2,659 |
| src\main\java\com\github\sentinel\pay                                                                                                                                                             |        108 |      2,016 |         93 |        550 |      2,659 |
| src\main\java\com\github\sentinel\pay (Files)                                                                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\github\sentinel\pay\application                                                                                                                                                 |         23 |        295 |         18 |         91 |        404 |
| src\main\java\com\github\sentinel\pay\application\dto                                                                                                                                             |          6 |         62 |          0 |         19 |         81 |
| src\main\java\com\github\sentinel\pay\application\dto\dashboard                                                                                                                                   |          1 |         15 |          0 |          4 |         19 |
| src\main\java\com\github\sentinel\pay\application\dto\decision                                                                                                                                    |          1 |          3 |          0 |          2 |          5 |
| src\main\java\com\github\sentinel\pay\application\dto\incidents                                                                                                                                   |          2 |         22 |          0 |          5 |         27 |
| src\main\java\com\github\sentinel\pay\application\dto\riskProfile                                                                                                                                 |          1 |          3 |          0 |          2 |          5 |
| src\main\java\com\github\sentinel\pay\application\dto\transaction                                                                                                                                 |          1 |         19 |          0 |          6 |         25 |
| src\main\java\com\github\sentinel\pay\application\exceptions                                                                                                                                      |          1 |          6 |          0 |          3 |          9 |
| src\main\java\com\github\sentinel\pay\application\implementation                                                                                                                                  |          5 |        172 |         18 |         38 |        228 |
| src\main\java\com\github\sentinel\pay\application\services                                                                                                                                        |         11 |         55 |          0 |         31 |         86 |
| src\main\java\com\github\sentinel\pay\domain                                                                                                                                                      |         48 |        851 |         47 |        268 |      1,166 |
| src\main\java\com\github\sentinel\pay\domain (Files)                                                                                                                                              |          1 |         17 |          0 |         10 |         27 |
| src\main\java\com\github\sentinel\pay\domain\entity                                                                                                                                               |         43 |        788 |         47 |        233 |      1,068 |
| src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate                                                                                                                   |         14 |        411 |          2 |        106 |        519 |
| src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate (Files)                                                                                                           |          8 |        286 |          2 |         74 |        362 |
| src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\deprecated                                                                                                        |          6 |        125 |          0 |         32 |        157 |
| src\main\java\com\github\sentinel\pay\domain\entity\FraudIncidentAggregate                                                                                                                        |          4 |         62 |          0 |         15 |         77 |
| src\main\java\com\github\sentinel\pay\domain\entity\fraudDecision                                                                                                                                 |          4 |         50 |          0 |         15 |         65 |
| src\main\java\com\github\sentinel\pay\domain\entity\fraudRules                                                                                                                                    |          7 |         88 |         18 |         31 |        137 |
| src\main\java\com\github\sentinel\pay\domain\entity\risk                                                                                                                                          |          6 |         71 |         19 |         25 |        115 |
| src\main\java\com\github\sentinel\pay\domain\entity\shared                                                                                                                                        |          3 |         23 |          0 |          9 |         32 |
| src\main\java\com\github\sentinel\pay\domain\entity\transactionAggregate                                                                                                                          |          5 |         83 |          8 |         32 |        123 |
| src\main\java\com\github\sentinel\pay\domain\repository                                                                                                                                           |          4 |         46 |          0 |         25 |         71 |
| src\main\java\com\github\sentinel\pay\infrastructure                                                                                                                                              |         36 |        861 |         28 |        186 |      1,075 |
| src\main\java\com\github\sentinel\pay\infrastructure\in                                                                                                                                           |          4 |        121 |         16 |         21 |        158 |
| src\main\java\com\github\sentinel\pay\infrastructure\in\web                                                                                                                                       |          4 |        121 |         16 |         21 |        158 |
| src\main\java\com\github\sentinel\pay\infrastructure\in\web\controller                                                                                                                            |          4 |        121 |         16 |         21 |        158 |
| src\main\java\com\github\sentinel\pay\infrastructure\out                                                                                                                                          |         32 |        740 |         12 |        165 |        917 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence                                                                                                                              |         32 |        740 |         12 |        165 |        917 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\EntityModels                                                                                                                 |          8 |        190 |          2 |         36 |        228 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\adapter                                                                                                                      |          4 |        231 |          1 |         36 |        268 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\base                                                                                                                         |          2 |         67 |          9 |         17 |         93 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\jpa                                                                                                                          |          9 |         91 |          0 |         43 |        134 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\jpa (Files)                                                                                                                  |          8 |         85 |          0 |         40 |        125 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\jpa\generic                                                                                                                  |          1 |          6 |          0 |          3 |          9 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\mapper                                                                                                                       |          9 |        161 |          0 |         33 |        194 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\mapper (Files)                                                                                                               |          5 |         25 |          0 |         15 |         40 |
| src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\mapper\adapters                                                                                                              |          4 |        136 |          0 |         18 |        154 |
| src\main\resources                                                                                                                                                                                |         10 |        798 |          5 |         67 |        870 |
| src\main\resources (Files)                                                                                                                                                                        |          1 |          7 |          0 |          0 |          7 |
| src\main\resources\static                                                                                                                                                                         |          1 |         69 |          5 |         16 |         90 |
| src\main\resources\static\css                                                                                                                                                                     |          1 |         69 |          5 |         16 |         90 |
| src\main\resources\templates                                                                                                                                                                      |          8 |        722 |          0 |         51 |        773 |
| src\main\resources\templates (Files)                                                                                                                                                              |          7 |        652 |          0 |         42 |        694 |
| src\main\resources\templates\fragments                                                                                                                                                            |          1 |         70 |          0 |          9 |         79 |
| src\test                                                                                                                                                                                          |         10 |        257 |          2 |         52 |        311 |
